title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re Child 0487,India,Haryana,2023,JJ Board Gurugram,burglary,15-17,Break-in at a public park; 15-year-old suspect identified. First offense.,burglary incident at public park; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0577),India,Kerala,2023,JJ Board Kochi,shoplifting,15-17,17-year-old apprehended shoplifting cosmetics from a neighbor's garage. First contact with juvenile court.,shoplifting incident at neighbor's garage; minor in 15-17 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Child 0423,India,Uttar Pradesh,2024,JJ Board Lucknow,drug possession,under 14,Minor discovered carrying alcohol during a community center search. No prior delinquency history.,drug possession matter involving under 14 juvenile in Uttar Pradesh.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re C-0696 (Child),United Kingdom,Wales,2021,Youth Court Cardiff,burglary,under 14,13-year-old entered a local shop without permission and took cosmetics. No prior delinquency history.,burglary incident at local shop; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0416,India,Tamil Nadu,2024,JJ Board Chennai,truancy,15-17,Habitual truancy petition for 15-year-old failing to attend a community center. No prior record.,truancy matter involving 15-17 juvenile in Tamil Nadu.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0395,India,Telangana,2018,JJ Board Hyderabad,trespass,15-17,Unauthorized entry to a neighbor's garage by 16-year-old. First offense.,Juvenile trespass case with no prior record in Telangana.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Child 0388,India,Maharashtra,2023,Juvenile Justice Board Mumbai,weapon possession,under 14,Security search at a local shop revealed a metal pipe in 13-year-old's bag. One prior warning only.,weapon possession matter involving under 14 juvenile in Maharashtra.,Community service; probation.,https://services.ecourts.gov.in/
Matter of Youth-0157,United States,Michigan,2021,Wayne County Juvenile Court,runaway,under 14,14-year-old left home and found at a transit station. Reunification assessment ordered. First offense.,Juvenile runaway case with no prior record in Michigan.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Y-0813 (Youth),United Kingdom,Wales,2023,Youth Court Cardiff,truancy,15-17,Habitual truancy petition for 17-year-old failing to attend a local shop. First contact with juvenile court.,truancy matter involving 15-17 juvenile in Wales.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re C-0652 (Child),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,assault,15-17,School altercation: 16-year-old struck another student at a transit station. First contact with juvenile court.,assault matter involving 15-17 juvenile in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Child 0358,India,Telangana,2020,JJ Board Hyderabad,theft,15-17,Theft reported: 16-year-old took clothing belonging to another at a retail store. No prior record.,theft incident at retail store; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
Matter of Youth-0265,United States,Massachusetts,2018,Suffolk Juvenile Court,cybercrime,15-17,15-year-old shared private photos online at a community center. No financial gain. First offense.,cybercrime incident at community center; minor in 15-17 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Y-0615 (Youth),United Kingdom,England,2018,Youth Court Bristol,runaway,under 14,14-year-old left home and found at a neighbor's garage. Reunification assessment ordered. No prior record.,runaway incident at neighbor's garage; minor in under 14 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0592,India,Tamil Nadu,2020,JJ Board Chennai,runaway,under 14,Runaway minor located after two days; Family conflict reported. One prior warning only.,runaway matter involving under 14 juvenile in Tamil Nadu.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Minor 0741,United Kingdom,Northern Ireland,2020,Youth Court Belfast,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a neighbor's garage. One prior warning only.,Juvenile robbery case with limited history in Northern Ireland.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0194,United States,Colorado,2023,Denver Juvenile Court,harassment,15-17,15-year-old sent repeated threatening messages to peer via WhatsApp. No prior record.,harassment incident at transit station; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0338),India,Haryana,2019,JJ Board Gurugram,cybercrime,15-17,16-year-old created fake social media accounts at a local shop. No financial gain. No prior delinquency history.,cybercrime matter involving 15-17 juvenile in Haryana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
Matter of Youth-0217,United States,Virginia,2018,Fairfax Juvenile Court,vandalism,under 14,14-year-old damaged playground equipment at a transit station. No prior delinquency history.,vandalism incident at transit station; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Child 0593,India,Punjab,2022,JJ Board Chandigarh,theft,15-17,16-year-old stole sporting goods from school. No prior record.,Juvenile theft case with no prior record in Punjab.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0432,India,Odisha,2023,JJ Board Bhubaneswar,vandalism,15-17,16-year-old damaged a bus shelter at a community center. First offense.,vandalism incident at community center; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0345,India,Uttar Pradesh,2018,JJ Board Lucknow,robbery,15-17,Strong-arm robbery allegation: 16-year-old and school. No prior record.,robbery incident at school; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Minor 0534,India,Uttar Pradesh,2019,JJ Board Lucknow,shoplifting,under 14,14-year-old apprehended shoplifting electronics from school. First offense.,shoplifting matter involving under 14 juvenile in Uttar Pradesh.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
State v. Minor-0118,United States,California,2024,Los Angeles Juvenile Court,trespass,under 14,13-year-old entered restricted a local shop after hours. First contact with juvenile court.,Juvenile trespass case with no prior record in California.,Probation 6 months; counseling.,https://www.courtlistener.com/
State v. Minor-0206,United States,Texas,2024,Harris County Juvenile Court,arson,under 14,13-year-old set fire to a bus shelter at a retail store. Minimal damage. First offense.,arson matter involving under 14 juvenile in Texas.,Restitution; informal probation.,https://www.courtlistener.com/
In re Minor 0343,India,Telangana,2021,JJ Board Hyderabad,drug possession,15-17,Minor discovered carrying prescription pills during a retail store search. First offense.,drug possession matter involving 15-17 juvenile in Telangana.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Y-0670 (Youth),United Kingdom,England,2021,Youth Court London,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a local shop. One prior warning only.,robbery incident at local shop; minor in under 14 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0237,United States,Virginia,2024,Fairfax Juvenile Court,trespass,15-17,Unauthorized entry to a public park by 17-year-old. First contact with juvenile court.,trespass matter involving 15-17 juvenile in Virginia.,Youth education program; supervised release.,https://www.courtlistener.com/
R v. Minor 0717,United Kingdom,Scotland,2019,Sheriff Court Edinburgh,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a transit station. One prior warning only.,robbery incident at transit station; minor in under 14 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Child 0563,India,Bihar,2020,JJ Board Patna,harassment,15-17,Bullying complaint: 16-year-old harassed classmate at a transit station. No prior record.,Juvenile harassment case with no prior record in Bihar.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
Matter of Youth-0234,United States,Massachusetts,2022,Suffolk Juvenile Court,trespass,15-17,16-year-old entered restricted a retail store after hours. First contact with juvenile court.,trespass incident at retail store; minor in 15-17 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
R v. Y-0788 (Youth),United Kingdom,England,2022,Youth Court Leeds,runaway,15-17,16-year-old left home and found at a local shop. Child referred by school counselor. First offense.,runaway incident at local shop; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0247,United States,Pennsylvania,2023,Philadelphia Family Court,burglary,under 14,Break-in at a community center; 14-year-old suspect identified. No prior record.,Juvenile burglary case with no prior record in Pennsylvania.,Probation 6 months; counseling.,https://www.courtlistener.com/
X v. State (JJ-0469),India,Uttar Pradesh,2019,JJ Board Lucknow,arson,15-17,Fire incident at a community center; 16-year-old admitted involvement. No prior delinquency history.,Juvenile arson case with no prior record in Uttar Pradesh.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
